X,Y,, 
"2,5286","0,04314",,
"2,52865","0,04269",,
"2,5287","0,04267",,
"2,52875","0,04242",,
"2,5288","0,04215",,
"2,52885","0,04219",,
"2,5289","0,04213",,
"2,52895","0,04213",,
"2,529","0,04166",,
"2,52905","0,04176",,
"2,5291","0,0412",,
"2,52915","0,04105",,
"2,5292","0,04085",,
"2,52925","0,04114",,
"2,5293","0,04078",,
"2,52935","0,04048",,
"2,5294","0,04061",,
"2,52945","0,04027",,
"2,5295","0,04029",,
"2,52955","0,04021",,
"2,5296","0,03955",,
"2,52965","0,03952",,
"2,5297","0,03949",,
"2,52975","0,03954",,
"2,5298","0,03928",,
"2,52985","0,03908",,
"2,5299","0,03908",,
"2,52995","0,03907",,
"2,53","0,03872",,
